comunidad,comentarios,autores,videos,canales,nombres_videos,nombres_canales,palabras_frecuentes
0,161,128,1,1,Qué rico come tu diputado,Quorum,"pueblo (50), diputado (49), pagar (32), dinero (27), hacer (27), trabajo (24), sueldo (20), decir (20), comer (18), almuerzo (17)"
1,50,49,1,1,La cooptación de Walter Mazariegos en la USAC,Quorum,"corrupto (10), usac (9), estudiante (7), bueno (6), poder (6), universidad (6), hacer (5), excelente (5), información (5), universitario (4)"
3,45,32,1,1,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,"presidente (24), terminar (11), año (10), guatemala (10), proyecto (9), bernardo (8), arevalo (7), hacer (6), puente (6), bueno (6)"
2,34,29,3,1,Arroz con pollo a la MONOPOLIO | Internet: escoger el menos malo | Caminar en una ciudad hecha para carros,Quorum,"excelente (11), empresa (9), poder (8), solo (7), internet (7), hacer (7), ley (7), decir (5), seguir (5), servicio (5)"
4,25,25,1,1,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,"guatemala (19), ciudad (9), saludo (7), proyecto (6), vivar (4), tiempo (4), bueno (4), dios (3), bello (3), cuidar (3)"
5,25,18,1,1,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,"you (6), país (5), usar (4), deportar (4), entrar (4), pais (4), ver (2), bueno (2), persona (2), hacer (2)"
6,25,19,1,1,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,"país (7), hacer (7), guatemala (6), gobierno (6), presidente (6), bla (6), persona (4), solo (4), maya (4), salvador (4)"
7,14,13,1,1,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,"trabajo (3), mujer (3), vestido (2), faltar (2), cara (2), bueno (2), joven (1), buscar (1), suerte (1), policía (1)"
9,7,7,1,1,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,"comparator (2), robar (2), enjuiciar (1), obgwtos (1), humano (1), mismo (1), claro (1), hechor (1), consentidor (1), pena (1)"
8,7,7,1,1,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,"asqueroso (4), país (4), entender (2), gasolina (2), subira (2), mas (2), guerra (2), guatemala (2), galón (2), puro (1)"
10,4,4,1,1,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,"iniciativa (3), juego (2), excelente (2), deporte (1), dinamico (1), entretenido (1), trasfondo (1), bastante (1), macabro (1), reflejar (1)"
11,3,3,1,1,10 Preguntas a un año del Paro Nacional,Quorum,"guatemala (2), solo (1), cambiar (1), dictadura (1), cada (1), año (1), ver (1), semilla (1), bernardo (1), arévalo (1)"
12,2,2,1,1,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,"persona (1), encargado (1), ecosistema (1), ayudar (1), problema (1), recuerdo (1), dejar (1), semiya (1), perder (1), arma (1)"
13,1,1,1,1,¿Quiénes pagan más en Centroamérica?,Quorum,wooow (1)
14,1,1,1,1,Cruzando la ciudad a puro Transmetro,Quorum,"teléfono (2), decir (2), existir (2), subscribir (1), boletín (1), informativo (1), intentar (1), paginar (1), web (1), colocar (1)"
15,1,1,1,1,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,
16,1,1,1,1,SHAI WA: la vecina queer de Casa Presidencial,Quorum,"gracia (1), video (1), importante (1), conocer (1), tipo (1), espacio (1)"
