source,target,weight,likes_totales,tipo_arista
UC-HeUTT6_g-VoiWds2a4H-w,6W4u8sGEnGM,1,0,autor_comento_video
UC-Iul5tDYH_oiAMXQH-KaaQ,6W4u8sGEnGM,1,1,autor_comento_video
UC-QOpE7GOxlXcHZ8b7HbQKA,OkXlHx0hx-8,2,0,autor_comento_video
UC-fiZBS5Gp1eCJd9ucgWnCg,j43HgwYFKfk,1,6,autor_comento_video
UC-hfX8J5JPJ-dfuakzegMLA,n8iP75gIpmw,1,6,autor_comento_video
UC-jS_kA9w-OmpupXDx156Rg,n8iP75gIpmw,1,2,autor_comento_video
UC-pNP6RMFuLg_-x7Ah_0kEA,n8iP75gIpmw,1,5,autor_comento_video
UC094EFEmMSdwVa8NQjjYBXg,b_Hkrkl3adA,1,0,autor_comento_video
UC0HvfEWozTHbwl_iEmJNvVA,6W4u8sGEnGM,1,3,autor_comento_video
UC0RpuMwkDKJYqgKHtsJRuWQ,lj983NWyAQY,1,113,autor_comento_video
UC0aEyakBPqcBkVJiErfSupQ,lj983NWyAQY,1,70,autor_comento_video
UC14qlobYKqD-DO0j6b75lcA,6W4u8sGEnGM,1,0,autor_comento_video
UC1DpqK6vaPEkBOMNvypsKYg,j43HgwYFKfk,1,0,autor_comento_video
UC1NiEdJ7gk6FlDexIalWnGg,6W4u8sGEnGM,1,0,autor_comento_video
UC1WlJfQmaIskYhP4gmWoamw,OkXlHx0hx-8,1,2,autor_comento_video
UC1Y7x3h0c95Z8kUhi-Tzaeg,PjmxCj-a9Hg,1,0,autor_comento_video
UC1vr9aaMI2crB0NvwFHUeoQ,n8iP75gIpmw,1,0,autor_comento_video
UC2Y_EHWQKevubk4vOEBBFxw,n8iP75gIpmw,1,1,autor_comento_video
UC2ngpd8UBQu4gcUYy0goAtg,06mFNPU0aB8,1,0,autor_comento_video
UC2weSE8rpqkGMOp6StYtVfg,n8iP75gIpmw,1,1,autor_comento_video
UC32oozucwCF3q8d4m8fyOUg,j43HgwYFKfk,1,0,autor_comento_video
UC3E9mAgP7VoAE5mZoAexl5g,n8iP75gIpmw,1,0,autor_comento_video
UC3MYTqpQqlWBuCB7Th0e0PA,n8iP75gIpmw,1,4,autor_comento_video
UC3NMzdMYryaw82kPTnsaljg,n8iP75gIpmw,1,0,autor_comento_video
UC3UVO7pTbeYvZ3ILEyRDskQ,j43HgwYFKfk,1,1,autor_comento_video
UC3XTwHxygNCgjndsg-UiCQA,n8iP75gIpmw,3,2,autor_comento_video
UC3YpzAr7pcdKC7BVFEpYzog,6W4u8sGEnGM,1,4,autor_comento_video
UC3iIU62XKUOWuqL8BqBzj9A,b_Hkrkl3adA,1,0,autor_comento_video
UC3qn1yJA5PeW9rkGPatQxiw,n8iP75gIpmw,1,7,autor_comento_video
UC4Avya4kmR4Q0FrfFdBozSQ,j43HgwYFKfk,1,11,autor_comento_video
UC4cXueR2bKGFJV0Fk76gwmA,n8iP75gIpmw,1,0,autor_comento_video
UC4kg7zuTfqQKLd2bkZrSYBA,is3Mk5oC19g,1,0,autor_comento_video
