node_id,tipo,label,grado_c,grado_ponderado,betweenness,closeness,pagerank,eigenvector
UCdFlugHJJa4l3YqWuNRmvXw,autor,@MarcosCarillo-b1r,0.005714285714285714,2,0.03186246418338109,0.20081463122176138,0.0026983617584240773,0.0006575521131128005
UCvl1tzQeBeGy6efPTRJXSCw,autor,@RaulPerez-cw2vi,0.002857142857142857,1,0.0,0.11052862551921921,0.0014900677837631298,1.1376519616251148e-08
UCRAquv8el-tQ30bN7MlmySQ,autor,@iamjimalesssa,0.002857142857142857,1,0.0,0.19841100207021636,0.0015012876402744307,0.0006549120980151285
UCkbsS_3D-pvg1iHOld9uvIg,autor,@gonzalo6075,0.002857142857142857,1,0.0,0.19841100207021636,0.0015012876402744307,0.0006549120980151285
UCOLHH4ZpMxPYF-Q6e6wvn5A,autor,@luisroldan7374,0.002857142857142857,1,0.0,0.027910983488872932,0.0012806576023992745,
UCi2KiZq63sRq8Mfbcp-MelQ,autor,@eugeneramirez4405,0.002857142857142857,6,0.0,0.048721804511278194,0.0055471934776435096,
UCXl30Y_upRqbti52fmjK4YA,autor,@capitanfrans,0.002857142857142857,1,0.0,0.13698399112913764,0.0015133016567510666,2.3648192089561676e-06
UCRelkU8JiZBytTzebJxaa-w,autor,@danyraymundo2942,0.002857142857142857,1,0.0,0.24284144673408525,0.0013102170967186151,0.04426776459447964
UCgLurCo-e019HGODcjXHWCw,autor,@perritojuega1,0.002857142857142857,1,0.0,0.03644314868804665,0.0015921333404745244,
UCDIMztpVm7G27qBuiWuT6oQ,autor,@lizardomorataya8274,0.002857142857142857,1,0.0,0.24284144673408525,0.0013102170967186151,0.04426776459447964
UCZOmq6MwFDVoCaEl99BRRaw,autor,@daniloarevalo3170,0.002857142857142857,1,0.0,0.1759916798023953,0.001367816507721139,0.00018794727729239428
UCFybmWapGvBKcQod7cPPH9w,autor,@vitalianochavez8382,0.002857142857142857,1,0.0,0.1467274229895543,0.0012314659094801788,2.7197998543171786e-06
UCh5ESQvtzyHDhCA7XyekCFA,autor,@andyB5280,0.002857142857142857,3,0.0,0.30284011645067743,0.0030759504354549902,0.13280329378343894
UCWIZUtKJ636y-4TYrNvok0g,autor,@cesarandreas7824,0.002857142857142857,1,0.0,0.24284144673408525,0.0013102170967186151,0.04426776459447964
UCzoL2l5H5eVlorWGH8AZfAg,autor,@jor77cas,0.002857142857142857,1,0.0,0.24284144673408525,0.0013102170967186151,0.04426776459447964
UCKVzDUqbtdSMBcexaEtMmzQ,autor,@rotorairgroup8409,0.002857142857142857,1,0.0,0.0065306122448979586,0.0018670735454650957,
UCNpt5CQlTzNjlAKY6CJtClQ,autor,@eustaquiogomez9975,0.002857142857142857,1,0.0,0.19841100207021636,0.0015012876402744307,0.0006549120980151285
UCut6b9S98nv84cVX89PmKzA,autor,@yeniferaguirre4498,0.002857142857142857,2,0.0,0.28522267384185895,0.0021930837660868027,0.08853552918895928
UCQyOePccUP-fIJYzchAgZYw,autor,@aguilar4254,0.002857142857142857,1,0.0,0.19841100207021636,0.0015012876402744307,0.0006549120980151285
UCOLGv5Pf6BF2wFcwUzgcvHg,autor,@welfrealdana5559,0.002857142857142857,2,0.0,0.28522267384185895,0.0021930837660868027,0.08853552918895928
UCAxvOOHQk7dYPOajzFEVtbA,autor,@ruddydepaz322,0.002857142857142857,2,0.0,0.11854592423131233,0.002552785140175832,2.2753039232502297e-08
